date,temp high,temp low,DP avg,humidity avg,SLP avg,Rainfall
2013-06-17,32,27,25,74,1001,0.0
2013-06-18,33,27,26,77,999,0.0
2013-06-19,34,27,27,77,999,0.0
2013-06-20,33,28,26,77,999,0.0
2013-06-21,33,27,26,79,998,0.0
2013-06-22,32,27,26,78,998,2.03
2013-06-23,34,27,26,74,997,0.0
2013-06-24,34,27,26,75,999,0.0
2013-06-25,28,26,26,90,1003,25.91
2013-06-26,31,27,27,91,1004,19.05
2013-06-27,28,26,26,98,1002,26.92
2013-06-28,28,26,26,97,1001,7.87
2013-06-29,28,25,26,97,999,23.88
2013-06-30,28,25,26,96,1000,7.87
2013-07-01,32,25,26,87,999,0.0
2013-07-02,31,27,26,81,999,0.0
2013-07-03,31,26,26,84,1001,4.06
2013-07-04,29,26,26,87,1002,2.03
2013-07-05,31,26,26,82,1003,0.0
2013-07-06,31,26,26,81,1004,0.0
2013-07-07,32,26,26,80,1004,0.0
2013-07-08,32,27,26,79,1003,0.0
2013-07-09,31,27,26,81,1001,0.0
2013-07-10,32,27,26,77,999,0.0
2013-07-11,32,27,25,78,1001,1.02
2013-07-12,31,26,24,81,1003,0.25
2013-07-13,30,25,25,88,1003,0.0
2013-07-14,31,26,25,78,1000,0.0
2013-07-15,32,27,26,79,1000,0.0
2013-07-16,33,27,26,79,1001,1.02
2013-07-17,31,27,25,79,1002,0.51
2013-07-18,31,26,25,85,999,2.03
2013-07-19,30,26,26,85,999,4.06
2013-07-20,30,27,26,84,1000,3.05
2013-07-21,31,26,25,80,998,0.0
2013-07-22,33,28,26,76,998,0.0
2013-07-23,33,28,26,79,999,0.0
2013-07-24,32,27,26,79,999,0.0
2013-07-25,31,27,25,82,996,18.03
2013-07-26,29,26,25,88,998,25.91
2013-07-27,28,26,26,92,1002,17.02
2013-07-28,27,26,25,94,1002,16.0
2013-07-29,29,25,25,86,998,2.03
2013-07-30,32,27,26,80,996,1.02
2013-07-31,31,26,25,84,999,4.06
2013-08-01,30,26,25,81,1001,0.0
2013-08-02,32,26,26,80,1002,0.0
2013-08-03,31,27,25,80,1002,0.0
2013-08-04,31,27,25,78,1001,1.02
2013-08-05,31,27,25,77,1003,0.0
2013-08-06,30,27,26,86,1004,2.03
2013-08-07,31,27,26,82,1005,2.03
2013-08-08,31,27,26,81,1004,0.0
2013-08-09,31,27,26,79,1003,0.0
2013-08-10,31,27,26,87,1004,7.87
2013-08-11,29,26,26,84,1005,2.03
2013-08-12,30,26,26,82,1004,0.0
2013-08-13,28,26,26,91,1003,0.0
2013-08-14,32,26,26,82,1003,0.0
2013-08-15,31,26,26,85,1004,6.1
2013-08-16,30,26,26,86,1003,2.03
2013-08-17,27,25,25,93,1001,7.87
2013-08-18,28,25,25,93,1000,1.02
2013-08-19,28,25,25,90,1000,10.92
2013-08-20,27,25,25,94,999,17.02
2013-08-21,31,26,26,83,1001,0.0
2013-08-22,31,26,25,80,1001,1.02
2013-08-23,32,26,26,81,1003,0.0
2013-08-24,32,27,25,77,1001,0.0
2013-08-25,30,26,25,82,1001,0.0
2013-08-26,30,26,25,83,1000,0.0
2013-08-27,27,25,24,90,1002,7.87
2013-08-28,29,26,25,90,1006,8.89
2013-08-29,30,26,26,87,1006,5.08
2013-08-30,31,26,26,86,1005,7.11
2013-08-31,31,27,26,83,1005,2.03
2013-09-01,31,27,26,81,1005,0.0
2013-09-02,31,26,25,84,1006,3.05
2013-09-03,30,26,25,84,1005,2.03
2013-09-04,29,26,26,91,1004,7.11
2013-09-05,31,26,26,88,1004,0.0
2013-09-06,31,26,26,84,1005,0.0
2013-09-07,29,26,25,89,1007,6.1
2013-09-08,29,26,25,85,1008,2.03
2013-09-09,29,25,25,88,1008,11.94
2013-09-10,31,26,26,82,1006,0.0
2013-09-11,30,26,26,88,1006,17.02
2013-09-12,32,26,26,81,1006,0.0
2013-09-13,33,26,26,80,1006,13.97
2013-09-14,30,26,25,84,1005,0.51
2013-09-15,33,24,25,80,1002,27.94
2013-09-16,32,26,26,82,1001,0.0
2013-09-17,32,26,26,83,1001,18.03
2013-09-18,32,27,25,79,1001,0.0
2013-09-19,31,27,25,78,1002,1.02
2013-09-20,32,26,25,78,1004,0.0
2013-09-21,39,27,26,76,1004,0.0
2013-09-22,33,28,26,79,1002,0.0
2013-09-23,33,28,26,77,1001,0.0
2013-09-24,33,26,26,79,1003,0.0
2013-09-25,32,28,26,78,1006,0.25
